method,r@1,r@5,r@10,ndcg@1,ndcg@5,ndcg@10,count
traditional,18.9143,38.3038,47.6731,0.395618,0.407535,0.430732,14514
kmeans_r10,14.5512,31.8559,40.7508,0.308667,0.331966,0.355736,14514
kmeans_r20,16.9011,34.9619,43.9189,0.352177,0.36836,0.391655,14514
kmeans_r30,17.4332,35.8183,44.9312,0.362788,0.37927,0.402859,14514
kmeans_r40,17.9844,36.5639,45.9116,0.375672,0.388426,0.412262,14514
kmeans_r50,18.2628,37.1256,46.2214,0.379496,0.394338,0.417004,14514
kmeans_r60,18.2354,37.4404,46.907,0.381942,0.396812,0.420754,14514
kmeans_r70,18.4926,37.6636,47.1631,0.38704,0.400691,0.424518,14514
kmeans_r80,18.7867,37.8101,47.3215,0.391794,0.403028,0.426718,14514
kmeans_r90,18.8967,38.092,47.5029,0.393138,0.405462,0.428839,14514
